,Unnamed: 0,Year,Mon,Day,tmax,tmin
0,4383,1980,1,1,5.6,-0.2
1,4384,1980,1,2,7.4,4.8
2,4385,1980,1,3,6.0,3.0
3,4386,1980,1,4,3.0,-2.9
4,4387,1980,1,5,1.9,-5.1
5,4388,1980,1,6,6.0,-3.8
6,4389,1980,1,7,-0.6,-7.8
7,4390,1980,1,8,5.6,-5.2
8,4391,1980,1,9,8.4,0.0
9,4392,1980,1,10,2.4,-5.7
10,4393,1980,1,11,-1.2,-7.4
11,4394,1980,1,12,2.6,-6.0
12,4395,1980,1,13,1.9,-2.3
13,4396,1980,1,14,1.5,-4.6
14,4397,1980,1,15,2.4,-5.2
15,4398,1980,1,16,3.2,-6.5
16,4399,1980,1,17,-2.2,-11.5
17,4400,1980,1,18,-2.8,-13.0
18,4401,1980,1,19,1.9,-6.8
19,4402,1980,1,20,2.1,-3.3
20,4403,1980,1,21,-1.1,-6.7
21,4404,1980,1,22,-1.6,-7.5
22,4405,1980,1,23,5.6,-7.3
23,4406,1980,1,24,2.5,-3.6
24,4407,1980,1,25,2.9,-5.2
25,4408,1980,1,26,7.6,-2.9
26,4409,1980,1,27,14.6,2.2
27,4410,1980,1,28,12.4,4.6
28,4411,1980,1,29,6.4,0.5
29,4412,1980,1,30,0.8,-8.8
30,4413,1980,1,31,-4.9,-9.2
31,4414,1980,2,1,-2.5,-10.0
32,4415,1980,2,2,1.0,-6.2
33,4416,1980,2,3,0.9,-3.2
34,4417,1980,2,4,-2.0,-8.0
35,4418,1980,2,5,-4.4,-9.8
36,4419,1980,2,6,-5.0,-10.0
37,4420,1980,2,7,-3.8,-12.4
38,4421,1980,2,8,-4.2,-10.5
39,4422,1980,2,9,-2.4,-10.6
40,4423,1980,2,10,2.4,-4.6
41,4424,1980,2,11,4.1,-4.8
42,4425,1980,2,12,-0.4,-5.7
43,4426,1980,2,13,-1.2,-5.7
44,4427,1980,2,14,0.8,-5.4
45,4428,1980,2,15,1.8,-4.8
46,4429,1980,2,16,0.4,-5.9
47,4430,1980,2,17,3.4,-6.4
48,4431,1980,2,18,2.8,-2.3
49,4432,1980,2,19,3.8,-3.0
50,4433,1980,2,20,4.0,-2.8
51,4434,1980,2,21,2.9,-2.8
52,4435,1980,2,22,3.0,-4.2
53,4436,1980,2,23,7.0,-1.7
54,4437,1980,2,24,8.7,0.5
55,4438,1980,2,25,13.0,-1.1
56,4439,1980,2,26,11.4,1.4
57,4440,1980,2,27,3.1,-1.8
58,4441,1980,2,28,7.8,-1.8
59,4442,1980,2,29,14.0,0.6
60,4443,1980,3,1,6.2,0.6
61,4444,1980,3,2,6.0,-2.0
62,4445,1980,3,3,8.8,-0.5
63,4446,1980,3,4,8.2,1.8
64,4447,1980,3,5,6.5,1.8
65,4448,1980,3,6,11.5,-1.8
66,4449,1980,3,7,12.4,4.6
67,4450,1980,3,8,13.3,2.8
68,4451,1980,3,9,9.6,4.0
69,4452,1980,3,10,5.5,2.1
70,4453,1980,3,11,3.4,-0.7
71,4454,1980,3,12,5.4,-2.2
72,4455,1980,3,13,6.6,-0.9
73,4456,1980,3,14,4.8,0.7
74,4457,1980,3,15,5.4,0.4
75,4458,1980,3,16,8.2,-0.5
76,4459,1980,3,17,11.9,0.8
77,4460,1980,3,18,11.4,2.9
78,4461,1980,3,19,13.7,1.0
79,4462,1980,3,20,9.2,3.4
80,4463,1980,3,21,9.3,1.1
81,4464,1980,3,22,6.4,1.0
82,4465,1980,3,23,3.9,1.4
83,4466,1980,3,24,5.2,0.5
84,4467,1980,3,25,8.1,-0.8
85,4468,1980,3,26,6.7,2.3
86,4469,1980,3,27,10.6,-1.0
87,4470,1980,3,28,14.8,0.4
88,4471,1980,3,29,13.2,6.5
89,4472,1980,3,30,13.6,3.2
90,4473,1980,3,31,9.4,5.3
91,4474,1980,4,1,9.8,4.8
92,4475,1980,4,2,11.7,2.7
93,4476,1980,4,3,19.6,3.7
94,4477,1980,4,4,23.2,8.3
95,4478,1980,4,5,18.5,14.7
96,4479,1980,4,6,16.4,5.0
97,4480,1980,4,7,12.4,5.0
98,4481,1980,4,8,14.6,7.1
99,4482,1980,4,9,15.8,6.1
100,4483,1980,4,10,13.9,3.0
101,4484,1980,4,11,20.2,6.8
102,4485,1980,4,12,14.6,12.2
103,4486,1980,4,13,13.4,5.4
104,4487,1980,4,14,9.6,4.6
105,4488,1980,4,15,9.5,4.2
106,4489,1980,4,16,10.6,4.8
107,4490,1980,4,17,11.0,5.0
108,4491,1980,4,18,20.8,6.8
109,4492,1980,4,19,20.7,9.3
110,4493,1980,4,20,13.5,7.8
111,4494,1980,4,21,12.8,6.9
112,4495,1980,4,22,15.6,4.2
