,Unnamed: 0,Year,Mon,Day,tmax,tmin
0,2556,1980,1,1,5.4,-0.4
1,2557,1980,1,2,5.6,1.5
2,2558,1980,1,3,8.7,3.5
3,2559,1980,1,4,4.6,-3.8
4,2560,1980,1,5,0.6,-8.1
5,2561,1980,1,6,4.6,-6.9
6,2562,1980,1,7,-3.8,-10.1
7,2563,1980,1,8,1.8,-11.1
8,2564,1980,1,9,6.7,-5.6
9,2565,1980,1,10,2.1,-7.0
10,2566,1980,1,11,0.1,-9.5
11,2567,1980,1,12,1.3,-12.2
12,2568,1980,1,13,2.6,-5.6
13,2569,1980,1,14,2.3,-9.2
14,2570,1980,1,15,0.4,-10.2
15,2571,1980,1,16,2.3,-7.7
16,2572,1980,1,17,-0.3,-13.8
17,2573,1980,1,18,-1.6,-15.3
18,2574,1980,1,19,1.4,-9.1
19,2575,1980,1,20,0.3,-6.3
20,2576,1980,1,21,-0.5,-8.7
21,2577,1980,1,22,-0.5,-10.5
22,2578,1980,1,23,6.2,-11.9
23,2579,1980,1,24,5.6,-6.7
24,2580,1980,1,25,7.3,-11.3
25,2581,1980,1,26,8.7,-10.7
26,2582,1980,1,27,12.7,-4.6
27,2583,1980,1,28,14.5,0.7
28,2584,1980,1,29,5.5,1.0
29,2585,1980,1,30,1.2,-9.5
30,2586,1980,1,31,-4.7,-10.1
31,2587,1980,2,1,-2.9,-9.8
32,2588,1980,2,2,0.5,-9.3
33,2589,1980,2,3,1.9,-4.7
34,2590,1980,2,4,-4.5,-10.4
35,2591,1980,2,5,-4.0,-12.9
36,2592,1980,2,6,-3.7,-13.7
37,2593,1980,2,7,-4.1,-15.4
38,2594,1980,2,8,-3.1,-13.0
39,2595,1980,2,9,-0.9,-13.0
40,2596,1980,2,10,3.2,-10.6
41,2597,1980,2,11,5.7,-7.3
42,2598,1980,2,12,2.7,-9.4
43,2599,1980,2,13,1.7,-10.0
44,2600,1980,2,14,1.1,-8.9
45,2601,1980,2,15,2.3,-10.0
46,2602,1980,2,16,5.3,-10.7
47,2603,1980,2,17,6.6,-10.0
48,2604,1980,2,18,4.4,-9.0
