,Unnamed: 0,Year,Mon,Day,tmax,tmin
0,3221,1980,1,1,14.0,9.4
1,3222,1980,1,2,15.7,13.3
2,3223,1980,1,3,13.8,7.0
3,3224,1980,1,4,7.0,2.5
4,3225,1980,1,5,6.4,2.0
5,3226,1980,1,6,8.1,3.7
6,3227,1980,1,7,3.7,-2.0
7,3228,1980,1,8,8.1,-4.8
8,3229,1980,1,9,11.8,6.4
9,3230,1980,1,10,6.9,1.5
10,3231,1980,1,11,5.9,0.3
11,3232,1980,1,12,9.5,0.0
12,3233,1980,1,13,8.1,3.3
13,3234,1980,1,14,7.7,1.6
14,3235,1980,1,15,7.0,2.2
15,3236,1980,1,16,9.5,1.5
16,3237,1980,1,17,7.7,-0.9
17,3238,1980,1,18,3.5,-0.5
18,3239,1980,1,19,6.8,1.7
19,3240,1980,1,20,5.3,2.2
20,3241,1980,1,21,4.8,0.5
21,3242,1980,1,22,4.5,0.2
22,3243,1980,1,23,10.8,-1.2
23,3244,1980,1,24,9.4,0.4
24,3245,1980,1,25,10.1,1.1
25,3246,1980,1,26,13.8,2.4
26,3247,1980,1,27,15.1,11.2
27,3248,1980,1,28,17.1,12.6
28,3249,1980,1,29,12.6,5.5
29,3250,1980,1,30,5.5,-3.5
30,3251,1980,1,31,1.3,-2.9
31,3252,1980,2,1,2.7,-1.4
32,3253,1980,2,2,4.3,1.0
33,3254,1980,2,3,4.7,1.0
34,3255,1980,2,4,3.5,-1.0
35,3256,1980,2,5,-0.4,-3.1
36,3257,1980,2,6,3.0,-2.3
37,3258,1980,2,7,2.1,-2.4
38,3259,1980,2,8,0.7,-1.9
39,3260,1980,2,9,2.3,-2.2
40,3261,1980,2,10,5.0,0.1
41,3262,1980,2,11,8.0,2.5
42,3263,1980,2,12,5.9,1.6
43,3264,1980,2,13,5.1,0.7
44,3265,1980,2,14,6.8,1.3
45,3266,1980,2,15,5.7,0.7
46,3267,1980,2,16,6.0,-1.3
47,3268,1980,2,17,7.9,-2.3
48,3269,1980,2,18,10.0,-0.2
49,3270,1980,2,19,10.0,4.0
50,3271,1980,2,20,10.4,2.5
51,3272,1980,2,21,8.7,1.6
52,3273,1980,2,22,9.6,0.5
53,3274,1980,2,23,11.9,0.7
54,3275,1980,2,24,13.8,5.1
55,3276,1980,2,25,15.5,2.6
56,3277,1980,2,26,11.4,6.4
57,3278,1980,2,27,7.6,3.3
58,3279,1980,2,28,11.9,1.1
59,3280,1980,2,29,14.3,-0.6
60,3281,1980,3,1,14.1,3.0
61,3282,1980,3,2,10.6,2.8
62,3283,1980,3,3,11.4,5.3
63,3284,1980,3,4,11.5,7.1
64,3285,1980,3,5,10.3,7.8
65,3286,1980,3,6,13.6,8.0
66,3287,1980,3,7,13.5,4.0
67,3288,1980,3,8,13.3,3.5
68,3289,1980,3,9,14.8,7.0
69,3290,1980,3,10,10.6,6.3
70,3291,1980,3,11,8.8,4.0
71,3292,1980,3,12,10.9,2.7
72,3293,1980,3,13,11.3,6.4
73,3294,1980,3,14,8.3,3.5
74,3295,1980,3,15,10.1,0.7
75,3296,1980,3,16,12.0,3.0
76,3297,1980,3,17,14.2,4.9
77,3298,1980,3,18,12.9,6.6
78,3299,1980,3,19,14.5,3.6
79,3300,1980,3,20,13.8,2.3
80,3301,1980,3,21,12.8,7.3
81,3302,1980,3,22,10.9,3.3
82,3303,1980,3,23,7.6,3.2
83,3304,1980,3,24,8.5,2.1
84,3305,1980,3,25,11.0,0.4
85,3306,1980,3,26,12.2,2.9
86,3307,1980,3,27,12.5,2.8
87,3308,1980,3,28,14.7,-0.4
88,3309,1980,3,29,13.0,9.0
89,3310,1980,3,30,16.0,6.0
90,3311,1980,3,31,15.0,8.3
91,3312,1980,4,1,12.6,1.1
92,3313,1980,4,2,14.6,-0.5
93,3314,1980,4,3,17.5,4.2
94,3315,1980,4,4,19.7,11.0
95,3316,1980,4,5,18.8,16.3
96,3317,1980,4,6,18.8,7.4
97,3318,1980,4,7,15.7,6.9
98,3319,1980,4,8,19.1,7.3
99,3320,1980,4,9,16.8,12.7
100,3321,1980,4,10,14.9,11.6
101,3322,1980,4,11,17.0,12.4
102,3323,1980,4,12,17.0,14.3
103,3324,1980,4,13,15.5,6.8
104,3325,1980,4,14,10.5,5.5
105,3326,1980,4,15,11.6,3.3
106,3327,1980,4,16,15.9,2.4
107,3328,1980,4,17,14.1,5.3
108,3329,1980,4,18,20.7,6.5
109,3330,1980,4,19,21.0,16.4
110,3331,1980,4,20,18.0,9.1
111,3332,1980,4,21,16.3,7.1
112,3333,1980,4,22,17.5,10.0
113,3334,1980,4,23,15.6,8.6
114,3335,1980,4,24,13.2,9.6
115,3336,1980,4,25,15.7,9.9
116,3337,1980,4,26,18.3,5.0
117,3338,1980,4,27,21.0,9.0
118,3339,1980,4,28,15.3,8.0
119,3340,1980,4,29,18.5,5.7
120,3341,1980,4,30,20.5,12.0
121,3342,1980,5,1,19.3,9.3
122,3343,1980,5,2,20.7,6.6
123,3344,1980,5,3,18.9,14.1
124,3345,1980,5,4,21.6,16.7
125,3346,1980,5,5,24.0,11.2
126,3347,1980,5,6,18.3,9.8
127,3348,1980,5,7,18.5,11.0
