,Unnamed: 0,Year,Mon,Day,tmax,tmin
0,6939,1980,1,1,12.8,11.0
1,6940,1980,1,2,14.6,12.2
2,6941,1980,1,3,14.5,10.2
3,6942,1980,1,4,11.0,3.2
4,6943,1980,1,5,9.4,0.9
5,6944,1980,1,6,8.4,5.0
6,6945,1980,1,7,6.6,-0.8
7,6946,1980,1,8,7.9,-2.4
8,6947,1980,1,9,13.0,4.8
9,6948,1980,1,10,7.8,2.2
10,6949,1980,1,11,6.6,-0.2
11,6950,1980,1,12,8.7,3.2
12,6951,1980,1,13,10.1,3.2
13,6952,1980,1,14,7.5,1.2
14,6953,1980,1,15,6.8,1.9
15,6954,1980,1,16,9.4,1.0
16,6955,1980,1,17,8.0,-0.8
17,6956,1980,1,18,5.6,-1.2
18,6957,1980,1,19,8.1,3.9
19,6958,1980,1,20,7.0,3.0
20,6959,1980,1,21,5.6,0.2
21,6960,1980,1,22,7.7,0.7
22,6961,1980,1,23,11.2,0.4
23,6962,1980,1,24,13.1,4.0
24,6963,1980,1,25,13.6,3.8
25,6964,1980,1,26,14.1,6.2
26,6965,1980,1,27,16.6,11.2
27,6966,1980,1,28,17.2,12.2
28,6967,1980,1,29,12.4,9.0
29,6968,1980,1,30,9.5,-2.0
30,6969,1980,1,31,2.3,-3.0
31,6970,1980,2,1,2.4,-2.2
32,6971,1980,2,2,6.6,0.8
33,6972,1980,2,3,7.8,1.4
34,6973,1980,2,4,3.9,-0.6
35,6974,1980,2,5,0.4,-3.3
36,6975,1980,2,6,5.4,-3.4
37,6976,1980,2,7,4.9,-2.0
38,6977,1980,2,8,2.9,-1.4
39,6978,1980,2,9,2.9,-1.6
40,6979,1980,2,10,8.0,-0.4
41,6980,1980,2,11,9.4,0.4
42,6981,1980,2,12,8.1,0.4
43,6982,1980,2,13,8.6,0.2
44,6983,1980,2,14,8.5,0.6
45,6984,1980,2,15,8.1,-1.3
46,6985,1980,2,16,9.2,-0.4
47,6986,1980,2,17,11.2,0.6
48,6987,1980,2,18,10.2,4.7
49,6988,1980,2,19,13.9,6.8
50,6989,1980,2,20,13.3,4.8
51,6990,1980,2,21,10.8,4.0
52,6991,1980,2,22,12.3,2.4
53,6992,1980,2,23,13.9,4.2
54,6993,1980,2,24,16.1,6.3
55,6994,1980,2,25,15.3,4.8
56,6995,1980,2,26,13.8,8.5
57,6996,1980,2,27,10.3,3.3
58,6997,1980,2,28,12.1,2.2
59,6998,1980,2,29,14.5,4.6
60,6999,1980,3,1,14.9,6.6
61,7000,1980,3,2,13.8,4.3
62,7001,1980,3,3,13.4,7.8
63,7002,1980,3,4,11.2,4.7
64,7003,1980,3,5,8.8,7.0
65,7004,1980,3,6,13.9,7.4
66,7005,1980,3,7,16.9,8.3
67,7006,1980,3,8,14.0,8.2
68,7007,1980,3,9,13.9,8.2
69,7008,1980,3,10,14.2,5.5
70,7009,1980,3,11,14.0,7.1
71,7010,1980,3,12,13.3,4.6
72,7011,1980,3,13,11.3,8.5
73,7012,1980,3,14,11.8,4.1
74,7013,1980,3,15,11.7,2.4
75,7014,1980,3,16,13.0,4.3
76,7015,1980,3,17,15.4,7.6
77,7016,1980,3,18,13.9,6.8
78,7017,1980,3,19,14.5,7.2
79,7018,1980,3,20,14.0,6.6
80,7019,1980,3,21,12.4,9.0
81,7020,1980,3,22,13.4,4.4
82,7021,1980,3,23,7.8,3.0
83,7022,1980,3,24,11.0,2.7
84,7023,1980,3,25,11.7,3.0
85,7024,1980,3,26,14.6,3.6
86,7025,1980,3,27,14.5,3.8
87,7026,1980,3,28,14.4,4.8
88,7027,1980,3,29,15.6,9.6
89,7028,1980,3,30,17.3,8.4
90,7029,1980,3,31,15.1,11.0
91,7030,1980,4,1,14.6,7.0
92,7031,1980,4,2,15.0,6.4
93,7032,1980,4,3,17.7,6.7
94,7033,1980,4,4,18.9,12.6
95,7034,1980,4,5,18.0,16.0
96,7035,1980,4,6,18.2,7.8
97,7036,1980,4,7,15.5,4.7
98,7037,1980,4,8,17.6,9.1
99,7038,1980,4,9,19.1,10.0
100,7039,1980,4,10,15.3,10.2
101,7040,1980,4,11,17.3,10.7
102,7041,1980,4,12,17.3,15.0
103,7042,1980,4,13,17.2,12.8
104,7043,1980,4,14,13.4,9.0
105,7044,1980,4,15,14.1,6.7
106,7045,1980,4,16,13.9,6.0
107,7046,1980,4,17,14.7,5.2
108,7047,1980,4,18,18.2,10.6
109,7048,1980,4,19,19.1,16.3
110,7049,1980,4,20,19.1,11.0
111,7050,1980,4,21,18.9,9.3
112,7051,1980,4,22,19.1,11.7
113,7052,1980,4,23,19.8,10.2
114,7053,1980,4,24,15.0,9.3
115,7054,1980,4,25,18.4,9.4
116,7055,1980,4,26,18.8,8.4
117,7056,1980,4,27,21.1,10.7
118,7057,1980,4,28,15.4,9.9
119,7058,1980,4,29,19.0,9.4
120,7059,1980,4,30,20.3,14.0
121,7060,1980,5,1,23.6,12.0
122,7061,1980,5,2,22.2,11.0
123,7062,1980,5,3,18.8,16.8
124,7063,1980,5,4,20.3,16.9
125,7064,1980,5,5,21.6,16.0
126,7065,1980,5,6,20.9,13.2
127,7066,1980,5,7,19.0,12.8
128,7067,1980,5,8,14.6,11.8
129,7068,1980,5,9,20.8,12.3
130,7069,1980,5,10,24.2,11.0
131,7070,1980,5,11,22.6,12.3
132,7071,1980,5,12,19.4,14.8
133,7072,1980,5,13,21.8,14.6
134,7073,1980,5,14,21.6,13.7
135,7074,1980,5,15,21.2,15.5
136,7075,1980,5,16,21.0,10.4
137,7076,1980,5,17,19.6,8.6
138,7077,1980,5,18,21.8,11.0
139,7078,1980,5,19,22.3,13.4
140,7079,1980,5,20,17.8,13.6
141,7080,1980,5,21,21.6,15.3
142,7081,1980,5,22,22.6,14.8
143,7082,1980,5,23,22.6,14.6
144,7083,1980,5,24,23.8,15.4
145,7084,1980,5,25,21.6,19.0
146,7085,1980,5,26,21.0,12.0
147,7086,1980,5,27,19.8,8.8
148,7087,1980,5,28,22.2,14.8
149,7088,1980,5,29,23.4,17.6
150,7089,1980,5,30,24.0,19.5
151,7090,1980,5,31,23.8,17.0
152,7091,1980,6,1,24.6,17.6
153,7092,1980,6,2,22.0,16.2
154,7093,1980,6,3,21.8,13.0
155,7094,1980,6,4,24.4,17.0
156,7095,1980,6,5,24.4,17.4
157,7096,1980,6,6,26.9,17.2
158,7097,1980,6,7,25.5,19.4
159,7098,1980,6,8,22.0,19.7
160,7099,1980,6,9,25.0,16.6
161,7100,1980,6,10,20.8,17.7
162,7101,1980,6,11,25.1,17.6
163,7102,1980,6,12,23.8,19.3
164,7103,1980,6,13,25.2,19.2
165,7104,1980,6,14,25.6,19.8
166,7105,1980,6,15,25.0,20.3
167,7106,1980,6,16,24.6,22.4
168,7107,1980,6,17,23.0,21.0
169,7108,1980,6,18,25.0,19.8
170,7109,1980,6,19,22.3,18.3
171,7110,1980,6,20,19.2,17.2
172,7111,1980,6,21,22.4,18.1
173,7112,1980,6,22,22.1,18.1
174,7113,1980,6,23,22.4,20.3
175,7114,1980,6,24,23.4,21.5
176,7115,1980,6,25,23.6,21.8
177,7116,1980,6,26,28.5,20.2
178,7117,1980,6,27,26.6,21.4
179,7118,1980,6,28,26.5,21.2
180,7119,1980,6,29,27.9,20.4
181,7120,1980,6,30,24.0,20.8
182,7121,1980,7,1,23.7,20.7
183,7122,1980,7,2,23.2,19.8
184,7123,1980,7,3,22.8,19.1
185,7124,1980,7,4,24.4,18.8
